,지역명,규모구분,연도,월,분양가격
182,경기,전용면적 60㎡초과 85㎡이하,2015,12,3314.0
183,경기,전용면적 85㎡초과 102㎡이하,2015,12,3449.0
184,경기,전용면적 102㎡초과,2015,12,3850.0
185,부산,전체,2015,12,3127.0
186,부산,전용면적 60㎡이하,2015,12,2951.0
187,부산,전용면적 60㎡초과 85㎡이하,2015,12,3032.0
188,부산,전용면적 85㎡초과 102㎡이하,2015,12,2957.0
189,부산,전용면적 102㎡초과,2015,12,3739.0
190,대구,전체,2015,12,2962.0
191,대구,전용면적 60㎡이하,2015,12,3282.0
192,대구,전용면적 60㎡초과 85㎡이하,2015,12,2971.0
193,대구,전용면적 85㎡초과 102㎡이하,2015,12,2532.0
194,대구,전용면적 102㎡초과,2015,12,2743.0
195,광주,전체,2015,12,2476.0
196,광주,전용면적 60㎡이하,2015,12,2395.0
197,광주,전용면적 60㎡초과 85㎡이하,2015,12,2489.0
198,광주,전용면적 85㎡초과 102㎡이하,2015,12,2965.1990950226245
199,광주,전용면적 102㎡초과,2015,12,2965.1990950226245
200,대전,전체,2015,12,2454.0
201,대전,전용면적 60㎡이하,2015,12,2585.0
202,대전,전용면적 60㎡초과 85㎡이하,2015,12,2428.0
203,대전,전용면적 85㎡초과 102㎡이하,2015,12,2461.0
204,대전,전용면적 102㎡초과,2015,12,2965.1990950226245
205,울산,전체,2015,12,3043.0
206,울산,전용면적 60㎡이하,2015,12,2584.0
207,울산,전용면적 60㎡초과 85㎡이하,2015,12,3048.0
208,울산,전용면적 85㎡초과 102㎡이하,2015,12,2663.0
209,울산,전용면적 102㎡초과,2015,12,2874.0
210,세종,전체,2015,12,2665.0
211,세종,전용면적 60㎡이하,2015,12,2601.0
212,세종,전용면적 60㎡초과 85㎡이하,2015,12,2676.0
213,세종,전용면적 85㎡초과 102㎡이하,2015,12,2661.0
214,세종,전용면적 102㎡초과,2015,12,2752.0
215,강원,전체,2015,12,2171.0
216,강원,전용면적 60㎡이하,2015,12,2292.0
217,강원,전용면적 60㎡초과 85㎡이하,2015,12,2193.0
218,강원,전용면적 85㎡초과 102㎡이하,2015,12,2061.0
219,강원,전용면적 102㎡초과,2015,12,2171.0
220,충북,전체,2015,12,2005.0
221,충북,전용면적 60㎡이하,2015,12,1941.0
222,충북,전용면적 60㎡초과 85㎡이하,2015,12,2017.0
223,충북,전용면적 85㎡초과 102㎡이하,2015,12,2276.0
224,충북,전용면적 102㎡초과,2015,12,2261.0
225,충남,전체,2015,12,2269.0
226,충남,전용면적 60㎡이하,2015,12,2438.0
227,충남,전용면적 60㎡초과 85㎡이하,2015,12,2279.0
